Ranking,Name,Position,Team,Salary
228,"Furkan Korkmaz,",SG,Philadelphia 76ers,5370370
229,"Jeremy Sochan,",F,San Antonio Spurs,5316960
230,"Cason Wallace,",G,Oklahoma City Thunder,5291000
231,"Chuma Okeke,",PF,Orlando Magic,5266713
232,"Isaiah Stewart,",C,Detroit Pistons,5266713
233,"Davion Mitchell,",PG,Sacramento Kings,5063760
234,"Johnny Davis,",G,Washington Wizards,5050800
235,"Jett Howard,",G,Orlando Magic,5026800
236,"Nick Richards,",C,Charlotte Hornets,5000000
237,"Mason Plumlee,",C,LA Clippers,5000000
238,"Reggie Jackson,",PG,Denver Nuggets,5000000
239,"Ziaire Williams,",F,Memphis Grizzlies,4810200
240,"Ousmane Dieng,",F,Oklahoma City Thunder,4798440
241,"Dereck Lively II,",C,Dallas Mavericks,4775640
242,"Josh Green,",SG,Dallas Mavericks,4765339
243,"Jarred Vanderbilt,",PF,Los Angeles Lakers,4698000
244,"Nickeil Alexander-Walker,",SG,Minnesota Timberwolves,4687500
245,"James Bouknight,",SG,Charlotte Hornets,4570080
246,"Jalen Williams,",F,Oklahoma City Thunder,4558680
247,"Saddiq Bey,",SF,Atlanta Hawks,4556983
248,"Gradey Dick,",G,Toronto Raptors,4536720
249,"Jalen McDaniels,",PF,Toronto Raptors,4516000
250,"Precious Achiuwa,",PF,New York Knicks,4379527
251,"Tyrese Maxey,",PG,Philadelphia 76ers,4343920
252,"Jalen Duren,",C,Detroit Pistons,4330680
253,"Danuel House Jr.,",SF,Philadelphia 76ers,4310250
254,"Jordan Hawkins,",G,New Orleans Pelicans,4310160
255,"Zeke Nnaji,",PF,Denver Nuggets,4306281
256,"Immanuel Quickley,",SG,Toronto Raptors,4171548
257,"Chris Duarte,",SG,Sacramento Kings,4124400
258,"Ochai Agbaji,",G,Toronto Raptors,4114200
259,"Kobe Bufkin,",G,Atlanta Hawks,4094280
260,"Payton Pritchard,",PG,Boston Celtics,4037278
261,"Seth Curry,",SG,Charlotte Hornets,4000000
262,"Troy Brown Jr.,",SF,Detroit Pistons,4000000
263,"Dwight Powell,",C,Dallas Mavericks,4000000
264,"Moses Moody,",SG,Golden State Warriors,3918480
265,"Mark Williams,",C,Charlotte Hornets,3908160
266,"Jaden McDaniels,",PF,Minnesota Timberwolves,3901399
267,"Keyonte George,",G,Utah Jazz,3889800
268,"Malachi Flynn,",PG,Detroit Pistons,3873025
269,"Desmond Bane,",SG,Memphis Grizzlies,3845083
270,"Kevin Love,",PF,Miami Heat,3835738
271,"Russell Westbrook,",PG,LA Clippers,3835738
272,"Corey Kispert,",SF,Washington Wizards,3722040
273,"AJ Griffin,",F,Atlanta Hawks,3712920
274,"Jalen Hood-Schifino,",G,Los Angeles Lakers,3695040
275,"Amir Coffey,",SG,LA Clippers,3666667
276,"Alperen Sengun,",C,Houston Rockets,3536280
277,"Tari Eason,",F,Houston Rockets,3527160
278,"Jaime Jaquez Jr.,",G,Miami Heat,3510600
279,"Mike Muscala,",C,Oklahoma City Thunder,3500000
280,"Andre Drummond,",C,Chicago Bulls,3360000
281,"Trey Murphy III,",SG,New Orleans Pelicans,3359280
282,"Brandin Podziemski,",G,Golden State Warriors,3352440
283,"Dalen Terry,",F,Chicago Bulls,3350760
284,"Cam Whitmore,",F,Houston Rockets,3218160
285,"Jake LaRavia,",F,Memphis Grizzlies,3199920
286,"Derrick Rose,",PG,Memphis Grizzlies,3196448
287,"Eric Gordon,",SG,Phoenix Suns,3196448
288,"Tre Mann,",PG,Charlotte Hornets,3191280
289,"Noah Clowney,",F,Brooklyn Nets,3089520
290,"Malaki Branham,",G,San Antonio Spurs,3071880
291,"Simone Fontecchio,",F,Detroit Pistons,3044872
292,"Jordan Nwora,",SF,Toronto Raptors,3000000
293,"Julian Champagnie,",F,San Antonio Spurs,3000000
294,"Dante Exum,",G,Dallas Mavericks,3000000
295,"Dariq Whitehead,",F,Brooklyn Nets,2966040
296,"Christian Braun,",G,Denver Nuggets,2949120
297,"Jalen Johnson,",SF,Atlanta Hawks,2925360
298,"Josh Richardson,",SG,Miami Heat,2891467
299,"Kris Murray,",F,Portland Trail Blazers,2847480
300,"Walker Kessler,",C,Utah Jazz,2831160
301,"Josh Okogie,",SF,Phoenix Suns,2815937
302,"Keon Johnson,",G,Brooklyn Nets,2808720
303,"Omer Yurtseven,",C,Utah Jazz,2800000
304,"Kyle Lowry,",PG,Philadelphia 76ers,2795839
305,"Olivier-Maxence Prosper,",F,Dallas Mavericks,2733360
306,"David Roddy,",F,Phoenix Suns,2718240
307,"Christian Wood,",F,Los Angeles Lakers,2709849
308,"Isaiah Jackson,",SF,Indiana Pacers,2696280
309,"Marcus Sasser,",G,Detroit Pistons,2623680
310,"MarJon Beauchamp,",F,Milwaukee Bucks,2609400
311,"Charles Bassey,",C,San Antonio Spurs,2600000
312,"Kris Dunn,",G,Utah Jazz,2586665
313,"Damian Jones,",C,Cleveland Cavaliers,2586665
314,"Bruno Fernando,",PF,Atlanta Hawks,2581522
315,"Willy Hernangomez,",C,New Orleans Pelicans,2559942
316,"Ben Sheppard,",G,Indiana Pacers,2537160
317,"Damion Lee,",SG,Phoenix Suns,2528233
318,"Thomas Bryant,",C,Miami Heat,2528233
319,"Torrey Craig,",SF,Chicago Bulls,2528233
320,"Blake Wesley,",G,San Antonio Spurs,2504640
321,"Josh Christopher,",SG,Utah Jazz,2485200
322,"Nick Smith Jr.,",G,Charlotte Hornets,2463960
323,"Brice Sensabaugh,",F,Utah Jazz,2448600
324,"Ty Jerome,",SG,Cleveland Cavaliers,2439025
325,"Julian Strawther,",G,Denver Nuggets,2431080
326,"Wendell Moore Jr.,",G,Minnesota Timberwolves,2421720
327,"Kobe Brown,",G,LA Clippers,2413320
328,"PJ Dozier,",G,Sacramento Kings,2413304
329,"Luke Kornet,",C,Boston Celtics,2413304
330,"John Konchar,",SG,Memphis Grizzlies,2400000
331,"Quentin Grimes,",SG,Detroit Pistons,2385720
332,"Keita Bates-Diop,",SF,Brooklyn Nets,2364614
333,"Nikola Jovic,",F,Miami Heat,2352000
334,"Yuta Watanabe,",SF,Memphis Grizzlies,2346614
335,"Drew Eubanks,",PF,Phoenix Suns,2346614
336,"Patrick Baldwin Jr.,",F,Washington Wizards,2337720
337,"Jordan McLaughlin,",PG,Minnesota Timberwolves,2320000
338,"Bones Hyland,",PG,LA Clippers,2306400
339,"Peyton Watson,",F,Denver Nuggets,2303520
340,"Cam Thomas,",SG,Brooklyn Nets,2240160
341,"Vlatko Cancar,",SF,Denver Nuggets,2234359
342,"Vince Williams Jr.,",G,Memphis Grizzlies,2232308
343,"Jaden Springer,",G,Boston Celtics,2226240
344,"Day'Ron Sharpe,",C,Brooklyn Nets,2210040
345,"Jeremiah Robinson-Earl,",F,New Orleans Pelicans,2196970
346,"Santi Aldama,",PF,Memphis Grizzlies,2194200
347,"Jaxson Hayes,",C,Los Angeles Lakers,2165000
348,"Cam Reddish,",SF,Los Angeles Lakers,2165000
349,"Oshae Brissett,",SF,Boston Celtics,2165000
350,"Andrew Nembhard,",PG,Indiana Pacers,2131905
351,"Kobi Simmons,",G,Toronto Raptors,2066585
352,"Luka Samanic,",F,Utah Jazz,2066585
353,"Isaiah Roby,",F,New York Knicks,2066585
354,"Goga Bitadze,",C,Orlando Magic,2062585
355,"Tristan Thompson,",C,Cleveland Cavaliers,2019796
356,"Sandro Mamukelashvili,",PF,San Antonio Spurs,2019760
357,"Alex Len,",C,Sacramento Kings,2019760
358,"Montrezl Harrell,",C,Philadelphia 76ers,2019760
359,"Malik Beasley,",SG,Milwaukee Bucks,2019760
360,"Jae Crowder,",PF,Milwaukee Bucks,2019760
361,"Frank Ntilikina,",PG,Charlotte Hornets,2019706
362,"Ish Smith,",PG,Charlotte Hornets,2019706
363,"Colby Jones,",G,Sacramento Kings,2019706
364,"Nerlens Noel,",C,Sacramento Kings,2019706
365,"JaVale McGee,",C,Sacramento Kings,2019706
366,"Robin Lopez,",C,Milwaukee Bucks,2019706
367,"Dalano Banton,",G,Portland Trail Blazers,2019706
368,"Moses Brown,",C,Portland Trail Blazers,2019706
369,"Bol Bol,",C,Phoenix Suns,2019706
370,"Mo Bamba,",C,Philadelphia 76ers,2019706
371,"Kelly Oubre Jr.,",SG,Philadelphia 76ers,2019706
372,"Danny Green,",F,Philadelphia 76ers,2019706
373,"Trendon Watford,",PF,Brooklyn Nets,2019706
374,"Lonnie Walker IV,",G,Brooklyn Nets,2019706
375,"Dennis Smith Jr.,",PG,Brooklyn Nets,2019706
376,"Thanasis Antetokounmpo,",SF,Milwaukee Bucks,2019706
377,"Patrick Beverley,",PG,Milwaukee Bucks,2019706
378,"Cory Joseph,",PG,Golden State Warriors,2019706
379,"Aaron Holiday,",G,Houston Rockets,2019706
380,"Reggie Bullock Jr.,",SF,Houston Rockets,2019706
381,"Boban Marjanovic,",C,Houston Rockets,2019706
382,"Dario Saric,",PF,Golden State Warriors,2019706
383,"Chimezie Metu,",PF,Detroit Pistons,2019706
384,"Ryan Arcidiacono,",G,New York Knicks,2019706
385,"Jalen Pickett,",G,Denver Nuggets,2019706
386,"Justin Holiday,",SF,Denver Nuggets,2019706
387,"DeAndre Jordan,",C,Denver Nuggets,2019706
388,"Derrick Jones Jr.,",SF,Dallas Mavericks,2019706
389,"Markieff Morris,",PF,Dallas Mavericks,2019706
390,"Terry Taylor,",F,Chicago Bulls,2019706
391,"Cody Zeller,",C,New Orleans Pelicans,2019706
392,"Svi Mykhailiuk,",SG,Boston Celtics,2019706
393,"Wesley Matthews,",SG,Atlanta Hawks,2019706
394,"Jaylin Williams,",F,Oklahoma City Thunder,2000000
395,"Caleb Houstan,",G,Orlando Magic,2000000
396,"Garrison Mathews,",SG,Atlanta Hawks,2000000
397,"Anthony Gill,",PF,Washington Wizards,1997239
398,"R.J. Hampton,",G,Miami Heat,1997238
399,"Isaiah Joe,",SG,Oklahoma City Thunder,1997238
400,"Sam Merrill,",SG,Cleveland Cavaliers,1997238
401,"GG Jackson,",F,Memphis Grizzlies,1991428
402,"Duop Reath,",C,Portland Trail Blazers,1951220
403,"Lamar Stevens,",PF,Memphis Grizzlies,1930681
404,"KJ Martin,",F,Philadelphia 76ers,1930681
405,"KJ Martin,",F,LA Clippers,1930681
406,"Naji Marshall,",SF,New Orleans Pelicans,1930681
407,"Xavier Tillman,",F,Boston Celtics,1930681
408,"Kessler Edwards,",SF,Sacramento Kings,1927896
409,"Jericho Sims,",C,New York Knicks,1927896
410,"Joe Wieskamp,",SF,Dallas Mavericks,1927896
411,"Sam Hauser,",SF,Boston Celtics,1927896
412,"Carlik Jones,",G,Chicago Bulls,1922896
413,"Haywood Highsmith,",F,Miami Heat,1902137
414,"Kevin Knox II,",SF,Detroit Pistons,1845593
415,"JT Thor,",F,Charlotte Hornets,1836096
416,"Isaiah Todd,",PF,Memphis Grizzlies,1836096
417,"Isaiah Livers,",PF,Detroit Pistons,1836096
418,"Aaron Wiggins,",SG,Oklahoma City Thunder,1836096
419,"Miles McBride,",PG,New York Knicks,1836096
420,"Brandon Boston Jr.,",SG,LA Clippers,1836096
421,"Marko Simonovic,",C,Chicago Bulls,1836096
422,"Jose Alvarado,",PG,New Orleans Pelicans,1836096
423,"Jack White,",F,Oklahoma City Thunder,1801769
424,"AJ Green,",G,Milwaukee Bucks,1801769
425,"Orlando Robinson,",C,Miami Heat,1801769
426,"Dru Smith,",G,Miami Heat,1801769
427,"E.J. Liddell,",F,New Orleans Pelicans,1801769
428,"Leonard Miller,",F,Minnesota Timberwolves,1800000
429,"Joshua Primo,",G,LA Clippers,1764341
430,"Daniel Theis,",C,LA Clippers,1741126
431,"Bryce McGowens,",G,Charlotte Hornets,1719865
432,"Xavier Cooks,",G,Washington Wizards,1719864
433,"Jabari Walker,",F,Portland Trail Blazers,1719864
434,"Josh Minott,",F,Minnesota Timberwolves,1719864
435,"Tyrese Martin,",G,Minnesota Timberwolves,1719864
436,"Max Christie,",G,Los Angeles Lakers,1719864
437,"Jaden Hardy,",G,Dallas Mavericks,1719864
438,"Julian Phillips,",F,Chicago Bulls,1600000
439,"Spencer Dinwiddie,",PG,Los Angeles Lakers,1554654
440,"Craig Porter,",G,Cleveland Cavaliers,1500000
